"yr","date","Latitude","Longitude","pyro","doy","pyrocat","subsegment"
2013,2013-05-03,28.02,-82.675,NA,123,NA,"NW"
2013,2013-05-03,27.972,-82.673,NA,123,NA,"NW"
2013,2013-05-03,27.98,-82.62,NA,123,NA,"NE"
2013,2013-05-03,27.942,-82.577,NA,123,NA,"CE"
2013,2013-05-03,27.957,-82.622,NA,123,NA,"CE"
2013,2013-05-03,27.942,-82.675,NA,123,NA,"CW"
2013,2013-05-03,27.9055,-82.6046,NA,123,NA,"SW"
2013,2013-05-03,27.9244,-82.5496,NA,123,NA,"SE"
2013,2013-05-03,27.86111,-82.58911,333,123,"No bloom","SW"
2013,2013-05-09,27.972,-82.673,1000,129,"No bloom","NW"
2013,2013-05-09,27.98,-82.62,NA,129,NA,"NE"
2013,2013-05-09,27.942,-82.577,333,129,"No bloom","CE"
2013,2013-05-09,27.957,-82.622,2000,129,"No bloom","CE"
2013,2013-05-09,27.942,-82.675,2300,129,"No bloom","CW"
2013,2013-05-09,27.9055,-82.6046,1600,129,"No bloom","SW"
2013,2013-05-09,27.9205,-82.5496,NA,129,NA,"SE"
2013,2013-05-09,27.86111,-82.58911,NA,129,NA,"SW"
2013,2013-05-17,28.02,-82.675,1300,137,"No bloom","NW"
2013,2013-05-17,27.972,-82.673,333,137,"No bloom","NW"
2013,2013-05-17,27.98,-82.62,333,137,"No bloom","NE"
2013,2013-05-17,27.942,-82.577,NA,137,NA,"CE"
2013,2013-05-17,27.957,-82.622,667,137,"No bloom","CE"
2013,2013-05-17,27.942,-82.675,NA,137,NA,"CW"
2013,2013-05-17,27.9055,-82.6046,333,137,"No bloom","SW"
2013,2013-05-17,27.9244,-82.5496,NA,137,NA,"SE"
2013,2013-05-17,27.86111,-82.58911,667,137,"No bloom","SW"
2013,2013-05-22,28.02,-82.675,333,142,"No bloom","NW"
2013,2013-05-22,27.972,-82.673,5000,142,"No bloom","NW"
2013,2013-05-22,27.98,-82.62,NA,142,NA,"NE"
