BAY_SEG,MAJOR_BASIN,BASIN,YEAR,MONTH,SOURCE,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
1,Coastal OTB,LTARPON,2010,8,NPS,23690968.15,23295.10798,6087.75916,127088.5343,601911.1222
1,Coastal OTB,LTARPON,2010,9,NPS,7510868.676,8431.784005,1930.03339,40291.52735,190826.9584
1,Coastal OTB,LTARPON,2010,10,NPS,139388.2723,161.7230213,35.81796345,747.7385941,3541.406617
1,Coastal OTB,LTARPON,2010,11,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2010,12,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2011,1,NPS,3227522.249,2977.998747,808.3995963,16443.14381,76419.58925
1,Coastal OTB,LTARPON,2011,2,NPS,2334762.129,2309.857959,584.7893885,11894.8303,55281.28053
1,Coastal OTB,LTARPON,2011,3,NPS,4734834.877,4232.605291,1185.93717,24122.39631,112108.9519
1,Coastal OTB,LTARPON,2011,4,NPS,11307331.79,12580.42098,2832.154745,57607.06459,267729.1074
1,Coastal OTB,LTARPON,2011,5,NPS,1193940.922,1401.613467,299.0471591,6082.72872,28269.51073
1,Coastal OTB,LTARPON,2011,6,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2011,7,NPS,3954212.57,4072.5065,1016.095824,21212.09554,100463.7932
1,Coastal OTB,LTARPON,2011,8,NPS,19549385.12,20595.00367,5023.51561,104871.3031,496686.8495
1,Coastal OTB,LTARPON,2011,9,NPS,19587211.08,20187.44556,5033.235573,105074.2178,497647.8853
1,Coastal OTB,LTARPON,2011,10,NPS,3581055.051,3664.707816,920.2072516,19210.31824,90983.06369
1,Coastal OTB,LTARPON,2011,11,NPS,1425718.908,1344.94131,357.1007419,7263.559853,33757.42905
1,Coastal OTB,LTARPON,2011,12,NPS,535481.28,494.2316091,134.1223444,2728.097597,12678.84659
1,Coastal OTB,LTARPON,2012,1,NPS,206443.3877,183.7750564,64.16342013,898.6269619,3543.385136
1,Coastal OTB,LTARPON,2012,2,NPS,381094.4359,352.3280207,118.4456556,1658.86512,6541.087967
1,Coastal OTB,LTARPON,2012,3,NPS,41432.62413,45.32602962,12.87742319,180.3519771,711.1477199
1,Coastal OTB,LTARPON,2012,4,NPS,106600.44,101.614484,33.1318377,464.0208174,1829.685217
1,Coastal OTB,LTARPON,2012,5,NPS,112278.3329,118.0434294,34.89654924,488.7361048,1927.140318
1,Coastal OTB,LTARPON,2012,6,NPS,22611688.68,16922.23951,7027.802132,98426.3692,388106.02
1,Coastal OTB,LTARPON,2012,7,NPS,27215500.18,26663.36094,8544.228646,122879.6196,495962.0661
1,Coastal OTB,LTARPON,2012,8,NPS,11477316.71,10503.3983,3603.270839,51820.77499,209157.0491
1,Coastal OTB,LTARPON,2012,9,NPS,18950087.52,18042.83608,5949.325919,85560.78451,345337.1975
1,Coastal OTB,LTARPON,2012,10,NPS,4629777.864,4234.061719,1453.505553,20903.72542,84370.82472
1,Coastal OTB,LTARPON,2012,11,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2012,12,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2013,1,NPS,86727.81484,76.11194893,26.95534733,377.5173117,1488.592361
1,Coastal OTB,LTARPON,2013,2,NPS,306254.9186,269.2777527,95.18523805,1333.096352,5256.545817
1,Coastal OTB,LTARPON,2013,3,NPS,14634.56903,20.36273158,4.548481845,63.70278289,251.1870927
1,Coastal OTB,LTARPON,2013,4,NPS,173.5356,0.169000819,0.05393555,0.755382726,2.978557329
1,Coastal OTB,LTARPON,2013,5,NPS,389327.5185,324.8460458,121.0045301,1694.702886,6682.400231
1,Coastal OTB,LTARPON,2013,6,NPS,2448612.107,2103.438903,761.038312,10658.55818,42027.86942
1,Coastal OTB,LTARPON,2013,7,NPS,15102395.42,14049.444,4741.35396,68188.22333,275218.7241
